no_neighs,no_nodes,tau_block,tau_attestation,mainchain_rate,branch_ratio
3,64,0.5,0.5,1.0,0.0
3,64,0.5,1.0,1.0,0.0
3,64,0.5,1.5,1.0,0.0
3,64,0.5,2.0,1.0,0.0
3,64,0.5,2.5,1.0,0.0
3,64,0.5,3.0,1.0,0.0
3,64,0.5,3.5,1.0,0.0
3,64,0.5,4.0,1.0,0.0
3,64,0.5,4.5,1.0,0.0
3,64,0.5,5.0,1.0,0.0
3,64,0.5,5.5,1.0,0.0
3,64,0.5,6.0,1.0,0.0
3,64,0.5,6.5,1.0,0.0
3,64,0.5,7.0,1.0,0.0
3,64,0.5,7.5,1.0,0.0
3,64,0.5,8.0,1.0,0.0
3,64,0.5,8.5,1.0,0.0
3,64,0.5,9.0,1.0,0.0
3,64,0.5,9.5,1.0,0.0
3,64,0.5,10.0,1.0,0.0
3,64,1.0,0.5,1.0,0.0
3,64,1.0,1.0,1.0,0.0
3,64,1.0,1.5,1.0,0.0
3,64,1.0,2.0,1.0,0.0
3,64,1.0,2.5,1.0,0.0
3,64,1.0,3.0,1.0,0.0
3,64,1.0,3.5,1.0,0.0
3,64,1.0,4.0,1.0,0.0
3,64,1.0,4.5,1.0,0.0
3,64,1.0,5.0,1.0,0.0
3,64,1.0,5.5,1.0,0.0
3,64,1.0,6.0,1.0,0.0
3,64,1.0,6.5,1.0,0.0
3,64,1.0,7.0,1.0,0.0
3,64,1.0,7.5,1.0,0.0
3,64,1.0,8.0,1.0,0.0
3,64,1.0,8.5,1.0,0.0
3,64,1.0,9.0,1.0,0.0
3,64,1.0,9.5,1.0,0.0
3,64,1.0,10.0,1.0,0.0
3,64,1.5,0.5,0.9629629629629629,0.038461538461538464
3,64,1.5,1.0,1.0,0.0
3,64,1.5,1.5,1.0,0.0
3,64,1.5,2.0,1.0,0.0
3,64,1.5,2.5,1.0,0.0
3,64,1.5,3.0,0.9259259259259259,0.08
3,64,1.5,3.5,1.0,0.0
3,64,1.5,4.0,1.0,0.0
3,64,1.5,4.5,1.0,0.0
3,64,1.5,5.0,1.0,0.0
3,64,1.5,5.5,1.0,0.0
3,64,1.5,6.0,1.0,0.0
3,64,1.5,6.5,1.0,0.0
3,64,1.5,7.0,1.0,0.0
3,64,1.5,7.5,1.0,0.0
3,64,1.5,8.0,1.0,0.0
3,64,1.5,8.5,1.0,0.0
3,64,1.5,9.0,1.0,0.0
3,64,1.5,9.5,1.0,0.0
3,64,1.5,10.0,1.0,0.0
3,64,2.0,0.5,1.0,0.0
3,64,2.0,1.0,0.9629629629629629,0.038461538461538464
3,64,2.0,1.5,1.0,0.0
3,64,2.0,2.0,0.9629629629629629,0.038461538461538464
3,64,2.0,2.5,0.9629629629629629,0.038461538461538464
3,64,2.0,3.0,0.9629629629629629,0.038461538461538464
3,64,2.0,3.5,0.9629629629629629,0.038461538461538464
3,64,2.0,4.0,1.0,0.0
3,64,2.0,4.5,1.0,0.0
3,64,2.0,5.0,1.0,0.0
3,64,2.0,5.5,0.9629629629629629,0.038461538461538464
3,64,2.0,6.0,0.9629629629629629,0.038461538461538464
3,64,2.0,6.5,0.7777777777777778,0.14285714285714285
3,64,2.0,7.0,1.0,0.0
3,64,2.0,7.5,1.0,0.0
3,64,2.0,8.0,1.0,0.0
3,64,2.0,8.5,0.9629629629629629,0.038461538461538464
3,64,2.0,9.0,1.0,0.0
3,64,2.0,9.5,1.0,0.0
3,64,2.0,10.0,1.0,0.0
3,64,2.5,0.5,1.0,0.0
3,64,2.5,1.0,0.9629629629629629,0.038461538461538464
3,64,2.5,1.5,1.0,0.0
3,64,2.5,2.0,1.0,0.0
