no_neighs,no_nodes,tau_block,tau_attestation,mainchain_rate,branch_ratio
3,96,1.0,1.0,1.0,0.0
3,96,1.0,3.0,1.0,0.0
3,96,1.0,5.0,1.0,0.0
3,96,1.0,7.0,1.0,0.0
3,96,1.0,9.0,1.0,0.0
3,96,1.0,11.0,1.0,0.0
3,96,1.0,13.0,1.0,0.0
3,96,1.0,15.0,1.0,0.0
3,96,1.0,17.0,1.0,0.0
3,96,1.0,19.0,1.0,0.0
3,96,1.0,21.0,1.0,0.0
3,96,3.0,1.0,0.8823529411764706,0.13333333333333333
3,96,3.0,3.0,0.9117647058823529,0.0967741935483871
3,96,3.0,5.0,0.9313725490196079,0.07368421052631578
3,96,3.0,7.0,0.8137254901960784,0.20481927710843373
3,96,3.0,9.0,0.7352941176470589,0.26666666666666666
3,96,3.0,11.0,0.9117647058823529,0.07526881720430108
3,96,3.0,13.0,0.9411764705882353,0.052083333333333336
3,96,3.0,15.0,0.8431372549019608,0.09302325581395349
3,96,3.0,17.0,0.7450980392156863,0.2236842105263158
3,96,3.0,19.0,0.7156862745098039,0.273972602739726
3,96,3.0,21.0,0.8137254901960784,0.1566265060240964
3,96,5.0,1.0,0.6666666666666666,0.5
3,96,5.0,3.0,0.5980392156862745,0.6229508196721312
3,96,5.0,5.0,0.6862745098039216,0.38571428571428573
3,96,5.0,7.0,0.6862745098039216,0.37142857142857144
3,96,5.0,9.0,0.5686274509803921,0.5862068965517241
3,96,5.0,11.0,0.5980392156862745,0.6557377049180327
3,96,5.0,13.0,0.5490196078431373,0.5714285714285714
3,96,5.0,15.0,0.6372549019607843,0.47692307692307695
3,96,5.0,17.0,0.5980392156862745,0.4098360655737705
3,96,5.0,19.0,0.5392156862745098,0.6
3,96,5.0,21.0,0.6078431372549019,0.5
3,96,7.0,1.0,0.5098039215686274,0.9230769230769231
3,96,7.0,3.0,0.5,0.9803921568627451
3,96,7.0,5.0,0.5294117647058824,0.7777777777777778
3,96,7.0,7.0,0.5392156862745098,0.6363636363636364
3,96,7.0,9.0,0.5686274509803921,0.6379310344827587
3,96,7.0,11.0,0.5686274509803921,0.6724137931034483
3,96,7.0,13.0,0.43137254901960786,0.9090909090909091
3,96,7.0,15.0,0.5588235294117647,0.5964912280701754
3,96,7.0,17.0,0.35294117647058826,1.0555555555555556
3,96,7.0,19.0,0.4803921568627451,0.8979591836734694
3,96,7.0,21.0,0.5196078431372549,0.5660377358490566
3,96,9.0,1.0,0.45098039215686275,1.1304347826086956
3,96,9.0,3.0,0.43137254901960786,1.1363636363636365
3,96,9.0,5.0,0.5686274509803921,0.6896551724137931
3,96,9.0,7.0,0.4019607843137255,1.1951219512195121
3,96,9.0,9.0,0.46078431372549017,1.0425531914893618
3,96,9.0,11.0,0.43137254901960786,0.9772727272727273
3,96,9.0,13.0,0.5196078431372549,0.7924528301886793
3,96,9.0,15.0,0.43137254901960786,1.0909090909090908
3,96,9.0,17.0,0.4117647058823529,1.0714285714285714
3,96,9.0,19.0,0.38235294117647056,1.1282051282051282
3,96,9.0,21.0,0.4411764705882353,0.8666666666666667
3,96,11.0,1.0,0.37254901960784315,1.5526315789473684
3,96,11.0,3.0,0.39215686274509803,1.4
3,96,11.0,5.0,0.3235294117647059,1.5454545454545454
3,96,11.0,7.0,0.4215686274509804,1.2325581395348837
3,96,11.0,9.0,0.3627450980392157,1.4864864864864864
3,96,11.0,11.0,0.4019607843137255,1.2682926829268293
3,96,11.0,13.0,0.38235294117647056,1.205128205128205
3,96,11.0,15.0,0.3431372549019608,1.542857142857143
3,96,11.0,17.0,0.4117647058823529,1.2142857142857142
3,96,11.0,19.0,0.38235294117647056,1.1282051282051282
3,96,11.0,21.0,0.38235294117647056,1.1282051282051282
3,96,13.0,1.0,0.3333333333333333,1.7647058823529411
3,96,13.0,3.0,0.37254901960784315,1.5263157894736843
3,96,13.0,5.0,0.3333333333333333,1.7058823529411764
3,96,13.0,7.0,0.30392156862745096,1.7419354838709677
3,96,13.0,9.0,0.37254901960784315,1.4210526315789473
3,96,13.0,11.0,0.3627450980392157,1.4054054054054055
3,96,13.0,13.0,0.35294117647058826,1.5277777777777777
