no_neighs,no_nodes,tau_block,tau_attestation,delay_share,delay_time,mainchain_rate,branch_ratio,blocktree_entropy,diameter,average_shortest_path
3,100,0.5,0.5,0.5,6.0,1.0,0.0,0.10473243910508653,8,3.9299828178694156
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.5004024235381879,8,3.653098982423682
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.410116318288409,7,3.3755781683626274
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.410116318288409,7,3.5060129509713227
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.37677016125643675,6,3.1462585034013606
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.410116318288409,9,3.6270531400966184
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.5623351446188083,7,3.4447278911564627
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.410116318288409,6,3.2109158186864013
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.5623351446188083,8,3.915942028985507
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.410116318288409,9,3.673758865248227
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.37677016125643675,7,3.3996598639455784
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.13579395875159386,7,3.2606382978723403
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.0922160573371918,9,3.368292682926829
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.08709952319177525,7,3.344125809435708
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.08831978220001763,7,3.2193236714975844
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.08591550133466311,7,3.1742160278745644
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.10126481756679193,10,4.029951690821256
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09503011725564635,9,3.5238095238095237
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.09962338946616205,10,4.430303030303031
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.11045304667259806,6,3.0775510204081633
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.09962338946616205,8,3.6540240518038853
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.098039113279732,7,3.24645390070922
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.098039113279732,7,3.25177304964539
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.10656595882801999,7,3.302325581395349
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.09962338946616205,7,3.336231884057971
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.09359996324581574,9,3.870748299319728
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.09503011725564635,10,3.9397163120567376
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.11924692639624491,6,3.038265306122449
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.09962338946616205,9,3.7863475177304964
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.09650896073594732,8,3.6505050505050507
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.09359996324581574,9,3.4618794326241136
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.09962338946616205,6,3.0363475177304964
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.10847133903591605,7,3.4209065679925996
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.0922160573371918,8,3.7065602836879434
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.09087612133300153,6,3.1515151515151514
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.10126481756679193,8,3.495567375886525
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.09962338946616205,8,3.377428307123034
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.08957802666754391,10,4.38945420906568
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.10656595882801999,10,3.71010101010101
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.09962338946616205,9,3.4246068455134133
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.08591550133466311,6,3.1806763285024156
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.08709952319177525,8,3.733615221987315
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.09962338946616205,6,3.00531914893617
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.09503011725564635,10,4.024154589371981
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.08591550133466311,7,3.2513842746400887
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.10296666046541245,7,3.5787755102040815
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.08364970461058928,7,3.300170068027211
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09650896073594732,7,3.2857142857142856
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.09962338946616205,6,3.4571428571428573
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.10296666046541245,6,3.230496453900709
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.09962338946616205,9,3.5020408163265304
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.09359996324581574,6,2.940795559666975
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.08476607571480994,8,3.7705827937095284
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.08709952319177525,8,3.6581632653061225
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.09087612133300153,7,3.140957446808511
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.09503011725564635,7,3.3214285714285716
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.08831978220001763,6,2.9461224489795916
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09087612133300153,7,3.24734693877551
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.08831978220001763,8,3.1794634597594817
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.09650896073594732,10,3.667632850241546
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.10473243910508653,9,3.701449275362319
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.10296666046541245,8,3.6569148936170213
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.10296666046541245,7,3.4209065679925996
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.09359996324581574,8,3.438775510204082
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.0922160573371918,6,3.073469387755102
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.098039113279732,8,3.488436632747456
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.09503011725564635,7,3.3226950354609928
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.08151041095033153,7,3.3010204081632653
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.09962338946616205,6,2.9759481961147087
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.10296666046541245,7,3.522222222222222
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.09359996324581574,7,3.1560283687943262
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.0922160573371918,8,3.360816326530612
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.10296666046541245,8,3.5381205673758864
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.10296666046541245,7,3.470744680851064
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.09503011725564635,8,3.645390070921986
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.098039113279732,8,3.421768707482993
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.08151041095033153,7,3.2632978723404253
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.0922160573371918,11,3.974290780141844
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.09359996324581574,6,3.054263565891473
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.10656595882801999,7,3.312925170068027
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.10656595882801999,8,3.6753006475485663
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.08957802666754391,7,3.347826086956522
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.09359996324581574,8,3.4031007751937983
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.09503011725564635,6,3.1091787439613525
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.10296666046541245,8,3.9323467230443976
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.0922160573371918,11,4.172727272727273
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.09503011725564635,9,3.894503546099291
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09962338946616205,8,3.555128205128205
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.098039113279732,6,3.132323232323232
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.08591550133466311,8,3.367021276595745
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.09962338946616205,8,3.7086031452358927
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.0922160573371918,8,3.5895390070921986
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.08048483706800685,6,3.04040404040404
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.09962338946616205,7,3.1363636363636362
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.11466528220290656,8,3.561352657004831
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.08709952319177525,9,3.7939024390243903
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.10296666046541245,8,3.804081632653061
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09359996324581574,7,3.3035714285714284
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.098039113279732,9,3.87145390070922
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.09650896073594732,7,3.482125603864734
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.10847133903591605,7,3.242512077294686
3,50,1.0,1.0,0.5,2.0,1.0,0.0,0.08831978220001763,8,3.4671985815602837
3,50,1.0,1.0,0.5,3.0,1.0,0.0,0.10847133903591605,7,3.249113475177305
3,50,1.0,1.0,0.5,4.0,1.0,0.0,0.10296666046541245,8,3.123678646934461
3,50,1.0,1.0,0.5,5.0,1.0,0.0,0.08591550133466311,8,3.6785714285714284
3,50,1.0,1.0,0.5,6.0,1.0,0.0,0.09359996324581574,7,3.31265306122449
3,50,1.0,1.0,0.5,7.0,1.0,0.0,0.09503011725564635,8,3.484848484848485
3,50,1.0,1.0,0.5,8.0,1.0,0.0,0.09087612133300153,7,3.2358156028368796
3,50,1.0,1.0,0.5,9.0,1.0,0.0,0.10296666046541245,7,3.302325581395349
3,50,1.0,1.0,0.5,10.0,1.0,0.0,0.09962338946616205,8,3.4645390070921986
3,50,1.0,1.0,0.5,11.0,1.0,0.0,0.11251593411963928,7,3.342857142857143
3,50,2.0,0.5,0.5,2.0,1.0,0.0,0.09962338946616205,8,3.5306122448979593
3,50,2.0,0.5,0.5,3.0,0.9622641509433962,0.0392156862745098,0.37595644655772587,10,3.9636524822695036
3,50,2.0,0.5,0.5,4.0,1.0,0.0,0.0922160573371918,8,3.7151515151515153
3,50,2.0,0.5,0.5,5.0,1.0,0.0,0.08831978220001763,8,3.471631205673759
3,50,2.0,0.5,0.5,6.0,1.0,0.0,0.10656595882801999,6,3.1649659863945576
3,50,2.0,0.5,0.5,7.0,1.0,0.0,0.0922160573371918,8,3.496598639455782
3,50,2.0,0.5,0.5,8.0,1.0,0.0,0.09650896073594732,7,3.3342198581560285
3,50,2.0,0.5,0.5,9.0,1.0,0.0,0.10656595882801999,7,3.4565656565656564
3,50,2.0,0.5,0.5,10.0,0.9807692307692307,0.0196078431372549,0.2572920076479544,7,3.2654949121184087
3,50,2.0,0.5,0.5,11.0,1.0,0.0,0.0922160573371918,7,3.185374149659864
3,50,2.0,0.5,0.5,2.0,0.9444444444444444,0.058823529411764705,0.47420716525211426,8,3.554421768707483
3,50,2.0,0.5,0.5,3.0,1.0,0.0,0.09503011725564635,8,3.7303030303030305
3,50,2.0,0.5,0.5,4.0,0.9791666666666666,0.02127659574468085,0.2735737942248851,8,3.6040816326530614
3,50,2.0,0.5,0.5,5.0,1.0,0.0,0.09503011725564635,8,3.3579931972789114
3,50,2.0,0.5,0.5,6.0,0.9444444444444444,0.058823529411764705,0.47420716525211426,9,3.981382978723404
3,50,2.0,0.5,0.5,7.0,0.975609756097561,0.025,0.3083386903452212,8,3.2743961352657003
3,50,2.0,0.5,0.5,8.0,1.0,0.0,0.09359996324581574,6,3.2402482269503547
