no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy
8,128,0.0,0,0.0,1.0,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,25.6,0.9259259259259259,0.08,0.5027922796200783
8,128,0.0,0,0.0,1.0,51.2,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,1.0,102.4,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,1.0,204.8,0.9259259259259259,0.08,0.5027922796200783
8,128,0.0,0,0.0,1.0,409.6,0.8888888888888888,0.125,0.5718327393983101
8,128,0.0,0,0.0,1.0,819.2,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,1.5,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,0.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,0.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,25.6,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,1.5,51.2,0.9259259259259259,0.08,0.5027922796200783
8,128,0.0,0,0.0,1.5,102.4,0.9259259259259259,0.08,0.5027922796200783
8,128,0.0,0,0.0,1.5,204.8,0.8518518518518519,0.17391304347826086,0.6298309121390556
8,128,0.0,0,0.0,1.5,409.6,0.8888888888888888,0.125,0.5718327393983101
8,128,0.0,0,0.0,1.5,819.2,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,2.25,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,0.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,0.8,0.9259259259259259,0.04,0.4195558923202333
8,128,0.0,0,0.0,2.25,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,25.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,51.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,102.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,204.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,409.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,2.25,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,0.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,0.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,25.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,51.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,102.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,204.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,409.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,0.1,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,5.0625,0.2,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,5.0625,0.4,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,0.8,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,3.2,0.8518518518518519,0.08695652173913043,0.6037974141151747
8,128,0.0,0,0.0,5.0625,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,25.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,51.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,102.4,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,5.0625,204.8,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,409.6,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,7.59375,0.1,0.8148148148148148,0.13636363636363635,0.7493309481686361
