no_neighs,no_nodes,tau_block,tau_attestation,Xi
3,64,11.0,11.0,0.3333333333333333
3,64,11.0,11.5,0.3888888888888889
3,64,11.0,12.0,0.5
3,64,11.5,11.0,0.5555555555555556
3,64,11.5,11.5,0.3888888888888889
3,64,11.5,12.0,0.5
3,64,12.0,11.0,0.3333333333333333
3,64,12.0,11.5,0.4444444444444444
3,64,12.0,12.0,0.4444444444444444
3,64,11.0,11.0,0.5555555555555556
3,64,11.0,11.5,0.3888888888888889
3,64,11.0,12.0,0.3888888888888889
3,64,11.5,11.0,0.3888888888888889
3,64,11.5,11.5,0.3333333333333333
3,64,11.5,12.0,0.5
3,64,12.0,11.0,0.3888888888888889
3,64,12.0,11.5,0.2777777777777778
3,64,12.0,12.0,0.3888888888888889
